date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2020-03-16,Netherlands,Spain,1,2,Friendly,Neutral City,Neutral,True
2020-03-23,Spain,Italy,0,1,Friendly,Neutral City,Neutral,True
2020-03-30,Italy,France,1,0,Friendly,Neutral City,Neutral,True
2020-04-06,Netherlands,Uruguay,3,2,Friendly,Neutral City,Neutral,True
2020-04-13,Uruguay,Belgium,0,1,Friendly,Neutral City,Neutral,True
2020-04-20,Spain,France,0,1,Friendly,Neutral City,Neutral,True
2020-04-27,Croatia,France,1,0,Friendly,Neutral City,Neutral,True
2020-05-04,England,Mexico,1,2,Friendly,Neutral City,Neutral,True
2020-05-11,Netherlands,Argentina,4,1,Friendly,Neutral City,Neutral,True
2020-05-18,Belgium,Brazil,2,1,Friendly,Neutral City,Neutral,True
2020-05-25,Italy,Germany,1,1,Friendly,Neutral City,Neutral,True
2020-06-01,Japan,Italy,2,1,Friendly,Neutral City,Neutral,True
2020-06-08,England,Belgium,2,2,Friendly,Neutral City,Neutral,True
2020-06-15,Japan,Germany,1,2,Friendly,Neutral City,Neutral,True
2020-06-22,France,Morocco,0,0,Friendly,Neutral City,Neutral,True
2020-06-29,Japan,Spain,0,2,Friendly,Neutral City,Neutral,True
2020-07-06,Spain,Germany,0,0,Friendly,Neutral City,Neutral,True
2020-07-13,Croatia,Italy,1,3,Friendly,Neutral City,Neutral,True
2020-07-20,Croatia,Brazil,1,1,Friendly,Neutral City,Neutral,True
2020-07-27,Argentina,Croatia,0,3,Friendly,Neutral City,Neutral,True
2020-08-03,USA,Morocco,2,1,Friendly,Neutral City,Neutral,True
2020-08-10,Croatia,Italy,2,0,Friendly,Neutral City,Neutral,True
2020-08-17,Italy,France,0,1,Friendly,Neutral City,Neutral,True
2020-08-24,Brazil,USA,2,0,Friendly,Neutral City,Neutral,True
2020-08-31,Japan,Argentina,1,3,Friendly,Neutral City,Neutral,True
2020-09-07,France,Belgium,1,0,Friendly,Neutral City,Neutral,True
2020-09-14,Belgium,England,1,2,Friendly,Neutral City,Neutral,True
2020-09-21,Spain,Morocco,0,2,Friendly,Neutral City,Neutral,True
2020-09-28,Belgium,Brazil,2,1,Friendly,Neutral City,Neutral,True
2020-10-05,Netherlands,USA,0,2,Friendly,Neutral City,Neutral,True
2020-10-12,Germany,Morocco,3,0,Friendly,Neutral City,Neutral,True
2020-10-19,France,Netherlands,0,2,Friendly,Neutral City,Neutral,True
2020-10-26,England,Portugal,1,1,Friendly,Neutral City,Neutral,True
2020-11-02,Uruguay,Japan,0,1,Friendly,Neutral City,Neutral,True
2020-11-09,Spain,Uruguay,1,2,Friendly,Neutral City,Neutral,True
2020-11-16,Mexico,Argentina,3,0,Friendly,Neutral City,Neutral,True
2020-11-23,Spain,Belgium,2,0,Friendly,Neutral City,Neutral,True
2020-11-30,Uruguay,England,0,2,Friendly,Neutral City,Neutral,True
2020-12-07,Croatia,Portugal,4,2,Friendly,Neutral City,Neutral,True
2020-12-14,England,Portugal,1,1,Friendly,Neutral City,Neutral,True
2020-12-21,Portugal,Belgium,0,2,Friendly,Neutral City,Neutral,True
2020-12-28,Portugal,Netherlands,4,3,Friendly,Neutral City,Neutral,True
2021-01-04,Argentina,Uruguay,1,1,Friendly,Neutral City,Neutral,True
2021-01-11,Argentina,Germany,1,0,Friendly,Neutral City,Neutral,True
2021-01-18,Argentina,Portugal,1,0,Friendly,Neutral City,Neutral,True
2021-01-25,Italy,France,4,2,Friendly,Neutral City,Neutral,True
2021-02-01,Italy,Portugal,0,1,Friendly,Neutral City,Neutral,True
2021-02-08,Brazil,Croatia,3,2,Friendly,Neutral City,Neutral,True
2021-02-15,Italy,Mexico,1,1,Friendly,Neutral City,Neutral,True
2021-02-22,Uruguay,Spain,1,1,Friendly,Neutral City,Neutral,True
2021-03-01,England,Argentina,2,0,Friendly,Neutral City,Neutral,True
2021-03-08,USA,Portugal,3,2,Friendly,Neutral City,Neutral,True
2021-03-15,Portugal,Belgium,0,2,Friendly,Neutral City,Neutral,True
2021-03-22,Spain,Netherlands,5,1,Friendly,Neutral City,Neutral,True
2021-03-29,France,Uruguay,2,0,Friendly,Neutral City,Neutral,True
2021-04-05,England,Spain,2,0,Friendly,Neutral City,Neutral,True
2021-04-12,Japan,Croatia,2,0,Friendly,Neutral City,Neutral,True
2021-04-19,France,Italy,0,2,Friendly,Neutral City,Neutral,True
2021-04-26,Portugal,Brazil,2,1,Friendly,Neutral City,Neutral,True
2021-05-03,France,Morocco,0,0,Friendly,Neutral City,Neutral,True
2021-05-10,Uruguay,Belgium,1,2,Friendly,Neutral City,Neutral,True
2021-05-17,Belgium,Mexico,0,3,Friendly,Neutral City,Neutral,True
2021-05-24,Netherlands,Mexico,0,3,Friendly,Neutral City,Neutral,True
2021-05-31,Argentina,Spain,3,4,Friendly,Neutral City,Neutral,True
2021-06-07,Argentina,Mexico,1,3,Friendly,Neutral City,Neutral,True
2021-06-14,Portugal,England,1,0,Friendly,Neutral City,Neutral,True
2021-06-21,Germany,Argentina,1,1,Friendly,Neutral City,Neutral,True
2021-06-28,Belgium,Brazil,2,0,Friendly,Neutral City,Neutral,True
2021-07-05,Brazil,Spain,1,0,Friendly,Neutral City,Neutral,True
2021-07-12,Argentina,England,1,2,Friendly,Neutral City,Neutral,True
2021-07-19,Brazil,Belgium,1,2,Friendly,Neutral City,Neutral,True
2021-07-26,England,France,1,0,Friendly,Neutral City,Neutral,True
2021-08-02,Uruguay,USA,2,2,Friendly,Neutral City,Neutral,True
2021-08-09,Japan,England,4,0,Friendly,Neutral City,Neutral,True
2021-08-16,Mexico,Argentina,0,1,Friendly,Neutral City,Neutral,True
2021-08-23,Italy,Germany,2,2,Friendly,Neutral City,Neutral,True
2021-08-30,Argentina,Portugal,3,0,Friendly,Neutral City,Neutral,True
2021-09-06,Japan,Portugal,1,1,Friendly,Neutral City,Neutral,True
2021-09-13,Spain,France,0,0,Friendly,Neutral City,Neutral,True
2021-09-20,England,USA,1,0,Friendly,Neutral City,Neutral,True
2021-09-27,Uruguay,Argentina,0,4,Friendly,Neutral City,Neutral,True
2021-10-04,Brazil,Italy,0,1,Friendly,Neutral City,Neutral,True
2021-10-11,Brazil,Argentina,3,2,Friendly,Neutral City,Neutral,True
2021-10-18,Portugal,Italy,3,3,Friendly,Neutral City,Neutral,True
2021-10-25,Belgium,Uruguay,1,1,Friendly,Neutral City,Neutral,True
2021-11-01,Brazil,Portugal,2,1,Friendly,Neutral City,Neutral,True
2021-11-08,Mexico,Belgium,6,2,Friendly,Neutral City,Neutral,True
2021-11-15,USA,Morocco,0,0,Friendly,Neutral City,Neutral,True
2021-11-22,Croatia,Spain,0,1,Friendly,Neutral City,Neutral,True
2021-11-29,France,Belgium,0,1,Friendly,Neutral City,Neutral,True
2021-12-06,Italy,Mexico,2,0,Friendly,Neutral City,Neutral,True
2021-12-13,Brazil,Belgium,0,0,Friendly,Neutral City,Neutral,True
2021-12-20,Argentina,Mexico,2,2,Friendly,Neutral City,Neutral,True
2021-12-27,Germany,France,0,0,Friendly,Neutral City,Neutral,True
2022-01-03,Netherlands,Argentina,1,2,Friendly,Neutral City,Neutral,True
2022-01-10,Japan,Argentina,1,3,Friendly,Neutral City,Neutral,True
2022-01-17,Argentina,USA,1,0,Friendly,Neutral City,Neutral,True
2022-01-24,Japan,Mexico,0,1,Friendly,Neutral City,Neutral,True
2022-01-31,Spain,Belgium,1,3,Friendly,Neutral City,Neutral,True
2022-02-07,England,Argentina,1,2,Friendly,Neutral City,Neutral,True
2022-02-14,Japan,USA,4,1,Friendly,Neutral City,Neutral,True
2022-02-21,France,Portugal,1,0,Friendly,Neutral City,Neutral,True
2022-02-28,Croatia,Netherlands,0,0,Friendly,Neutral City,Neutral,True
2022-03-07,France,Uruguay,2,1,Friendly,Neutral City,Neutral,True
2022-03-14,Spain,Brazil,0,1,Friendly,Neutral City,Neutral,True
2022-03-21,Italy,Brazil,3,0,Friendly,Neutral City,Neutral,True
2022-03-28,Netherlands,Portugal,2,0,Friendly,Neutral City,Neutral,True
2022-04-04,Netherlands,Germany,0,2,Friendly,Neutral City,Neutral,True
2022-04-11,USA,Mexico,0,2,Friendly,Neutral City,Neutral,True
2022-04-18,France,Germany,0,1,Friendly,Neutral City,Neutral,True
2022-04-25,Belgium,Uruguay,1,3,Friendly,Neutral City,Neutral,True
2022-05-02,Italy,Morocco,0,1,Friendly,Neutral City,Neutral,True
2022-05-09,Brazil,Portugal,2,0,Friendly,Neutral City,Neutral,True
2022-05-16,Mexico,Spain,0,0,Friendly,Neutral City,Neutral,True
2022-05-23,Italy,Germany,1,1,Friendly,Neutral City,Neutral,True
2022-05-30,Germany,France,2,1,Friendly,Neutral City,Neutral,True
2022-06-06,USA,Italy,0,1,Friendly,Neutral City,Neutral,True
2022-06-13,Uruguay,France,1,1,Friendly,Neutral City,Neutral,True
2022-06-20,Germany,Netherlands,0,0,Friendly,Neutral City,Neutral,True
2022-06-27,Portugal,England,0,1,Friendly,Neutral City,Neutral,True
2022-07-04,England,France,0,1,Friendly,Neutral City,Neutral,True
2022-07-11,Netherlands,Germany,3,0,Friendly,Neutral City,Neutral,True
2022-07-18,England,Netherlands,1,0,Friendly,Neutral City,Neutral,True
2022-07-25,France,Morocco,2,2,Friendly,Neutral City,Neutral,True
2022-08-01,Brazil,Belgium,2,3,Friendly,Neutral City,Neutral,True
2022-08-08,Argentina,Germany,0,0,Friendly,Neutral City,Neutral,True
2022-08-15,Mexico,Belgium,1,1,Friendly,Neutral City,Neutral,True
2022-08-22,Spain,Uruguay,2,1,Friendly,Neutral City,Neutral,True
2022-08-29,Uruguay,Netherlands,4,0,Friendly,Neutral City,Neutral,True
2022-09-05,Croatia,Belgium,2,1,Friendly,Neutral City,Neutral,True
2022-09-12,Argentina,Uruguay,0,1,Friendly,Neutral City,Neutral,True
2022-09-19,Croatia,Portugal,3,2,Friendly,Neutral City,Neutral,True
2022-09-26,Morocco,Spain,1,2,Friendly,Neutral City,Neutral,True
2022-10-03,Netherlands,Japan,3,0,Friendly,Neutral City,Neutral,True
2022-10-10,Uruguay,France,0,0,Friendly,Neutral City,Neutral,True
2022-10-17,Morocco,Croatia,2,1,Friendly,Neutral City,Neutral,True
2022-10-24,Argentina,Uruguay,1,1,Friendly,Neutral City,Neutral,True
2022-10-31,Germany,USA,1,1,Friendly,Neutral City,Neutral,True
2022-11-07,Brazil,Spain,1,1,Friendly,Neutral City,Neutral,True
2022-11-14,Japan,Brazil,1,0,Friendly,Neutral City,Neutral,True
2022-11-21,Japan,Brazil,2,1,Friendly,Neutral City,Neutral,True
2022-11-28,England,Spain,1,2,Friendly,Neutral City,Neutral,True
2022-12-05,Germany,Mexico,3,0,Friendly,Neutral City,Neutral,True
2022-12-12,France,Uruguay,3,3,Friendly,Neutral City,Neutral,True
2022-12-19,Portugal,Croatia,2,3,Friendly,Neutral City,Neutral,True
2022-12-26,France,Netherlands,1,0,Friendly,Neutral City,Neutral,True
2023-01-02,England,Mexico,1,3,Friendly,Neutral City,Neutral,True
2023-01-09,Italy,Germany,2,1,Friendly,Neutral City,Neutral,True
2023-01-16,Italy,USA,1,0,Friendly,Neutral City,Neutral,True
2023-01-23,England,USA,1,0,Friendly,Neutral City,Neutral,True
2023-01-30,Portugal,England,2,1,Friendly,Neutral City,Neutral,True
2023-02-06,Belgium,USA,2,2,Friendly,Neutral City,Neutral,True
2023-02-13,Portugal,France,0,0,Friendly,Neutral City,Neutral,True
2023-02-20,Croatia,Spain,3,0,Friendly,Neutral City,Neutral,True
2023-02-27,France,Germany,0,1,Friendly,Neutral City,Neutral,True
2023-03-06,France,Argentina,2,4,Friendly,Neutral City,Neutral,True
2023-03-13,Germany,USA,2,1,Friendly,Neutral City,Neutral,True
2023-03-20,Japan,USA,0,1,Friendly,Neutral City,Neutral,True
2023-03-27,Mexico,Morocco,2,1,Friendly,Neutral City,Neutral,True
2023-04-03,Portugal,Morocco,0,3,Friendly,Neutral City,Neutral,True
2023-04-10,England,Mexico,1,3,Friendly,Neutral City,Neutral,True
2023-04-17,Belgium,Spain,0,0,Friendly,Neutral City,Neutral,True
2023-04-24,Mexico,Morocco,1,0,Friendly,Neutral City,Neutral,True
2023-05-01,Japan,Italy,5,2,Friendly,Neutral City,Neutral,True
2023-05-08,Mexico,France,1,0,Friendly,Neutral City,Neutral,True
2023-05-15,Mexico,USA,0,0,Friendly,Neutral City,Neutral,True
2023-05-22,Belgium,Croatia,1,1,Friendly,Neutral City,Neutral,True
2023-05-29,Morocco,Uruguay,2,2,Friendly,Neutral City,Neutral,True
2023-06-05,Uruguay,Portugal,0,0,Friendly,Neutral City,Neutral,True
2023-06-12,USA,England,0,1,Friendly,Neutral City,Neutral,True
2023-06-19,Brazil,Netherlands,2,0,Friendly,Neutral City,Neutral,True
2023-06-26,France,Japan,1,0,Friendly,Neutral City,Neutral,True
2023-07-03,Italy,Netherlands,2,0,Friendly,Neutral City,Neutral,True
2023-07-10,Netherlands,Brazil,0,2,Friendly,Neutral City,Neutral,True
2023-07-17,Spain,Italy,0,2,Friendly,Neutral City,Neutral,True
2023-07-24,Germany,Spain,3,1,Friendly,Neutral City,Neutral,True
2023-07-31,Germany,Belgium,1,2,Friendly,Neutral City,Neutral,True
2023-08-07,Japan,Brazil,1,0,Friendly,Neutral City,Neutral,True
2023-08-14,Netherlands,France,1,1,Friendly,Neutral City,Neutral,True
2023-08-21,France,Spain,0,3,Friendly,Neutral City,Neutral,True
2023-08-28,USA,Spain,1,0,Friendly,Neutral City,Neutral,True
2023-09-04,Brazil,France,3,2,Friendly,Neutral City,Neutral,True
2023-09-11,Argentina,Belgium,1,0,Friendly,Neutral City,Neutral,True
2023-09-18,Italy,Croatia,1,0,Friendly,Neutral City,Neutral,True
2023-09-25,Japan,Uruguay,1,0,Friendly,Neutral City,Neutral,True
2023-10-02,Japan,Belgium,2,0,Friendly,Neutral City,Neutral,True
2023-10-09,Portugal,Japan,3,1,Friendly,Neutral City,Neutral,True
2023-10-16,Brazil,Italy,1,4,Friendly,Neutral City,Neutral,True
2023-10-23,Morocco,Spain,0,2,Friendly,Neutral City,Neutral,True
2023-10-30,Spain,Argentina,4,4,Friendly,Neutral City,Neutral,True
2023-11-06,Morocco,Netherlands,0,1,Friendly,Neutral City,Neutral,True
2023-11-13,Brazil,Portugal,4,1,Friendly,Neutral City,Neutral,True
2023-11-20,Belgium,Portugal,0,1,Friendly,Neutral City,Neutral,True
2023-11-27,Spain,Brazil,1,0,Friendly,Neutral City,Neutral,True
2023-12-04,Netherlands,Uruguay,1,1,Friendly,Neutral City,Neutral,True
2023-12-11,England,Brazil,0,1,Friendly,Neutral City,Neutral,True
2023-12-18,Netherlands,Croatia,2,0,Friendly,Neutral City,Neutral,True
2023-12-25,Belgium,Mexico,1,0,Friendly,Neutral City,Neutral,True
2024-01-01,Morocco,Brazil,1,3,Friendly,Neutral City,Neutral,True
2024-01-08,Brazil,Mexico,2,1,Friendly,Neutral City,Neutral,True
2024-01-15,Argentina,Uruguay,4,0,Friendly,Neutral City,Neutral,True
2024-01-22,Germany,France,3,1,Friendly,Neutral City,Neutral,True
2024-01-29,Japan,Spain,0,3,Friendly,Neutral City,Neutral,True
2024-02-05,Italy,Morocco,2,3,Friendly,Neutral City,Neutral,True
2024-02-12,Morocco,England,1,3,Friendly,Neutral City,Neutral,True
2024-02-19,Spain,Uruguay,0,4,Friendly,Neutral City,Neutral,True
2024-02-26,Croatia,Germany,1,1,Friendly,Neutral City,Neutral,True
2024-03-04,Uruguay,France,1,1,Friendly,Neutral City,Neutral,True
2024-03-11,Portugal,England,1,1,Friendly,Neutral City,Neutral,True
2024-03-18,Germany,Portugal,3,3,Friendly,Neutral City,Neutral,True
2024-03-25,USA,Mexico,3,0,Friendly,Neutral City,Neutral,True
2024-04-01,Argentina,Germany,4,1,Friendly,Neutral City,Neutral,True
2024-04-08,Croatia,Portugal,2,2,Friendly,Neutral City,Neutral,True
2024-04-15,Belgium,Germany,0,2,Friendly,Neutral City,Neutral,True
2024-04-22,Brazil,Italy,0,2,Friendly,Neutral City,Neutral,True
2024-04-29,Spain,Argentina,1,0,Friendly,Neutral City,Neutral,True
2024-05-06,Netherlands,Italy,1,1,Friendly,Neutral City,Neutral,True
2024-05-13,Brazil,Netherlands,1,3,Friendly,Neutral City,Neutral,True
2024-05-20,Argentina,Spain,2,2,Friendly,Neutral City,Neutral,True
2024-05-27,Croatia,Uruguay,0,3,Friendly,Neutral City,Neutral,True
2024-06-03,Germany,Japan,1,0,Friendly,Neutral City,Neutral,True
2024-06-10,France,Uruguay,1,4,Friendly,Neutral City,Neutral,True
2024-06-17,France,Belgium,0,1,Friendly,Neutral City,Neutral,True
2024-06-24,Mexico,Japan,3,1,Friendly,Neutral City,Neutral,True
2024-07-01,Uruguay,Germany,1,0,Friendly,Neutral City,Neutral,True
2024-07-08,Belgium,Japan,2,2,Friendly,Neutral City,Neutral,True
2024-07-15,USA,Croatia,2,0,Friendly,Neutral City,Neutral,True
2024-07-22,Japan,Mexico,4,2,Friendly,Neutral City,Neutral,True
2024-07-29,Uruguay,Japan,0,1,Friendly,Neutral City,Neutral,True
2024-08-05,USA,Croatia,2,0,Friendly,Neutral City,Neutral,True
2024-08-12,Uruguay,Croatia,2,1,Friendly,Neutral City,Neutral,True
2024-08-19,Netherlands,Spain,0,2,Friendly,Neutral City,Neutral,True
2024-08-26,Uruguay,Netherlands,4,1,Friendly,Neutral City,Neutral,True
2024-09-02,France,Uruguay,0,0,Friendly,Neutral City,Neutral,True
2024-09-09,Germany,Mexico,1,3,Friendly,Neutral City,Neutral,True
2024-09-16,France,Portugal,0,0,Friendly,Neutral City,Neutral,True
2024-09-23,France,Germany,1,1,Friendly,Neutral City,Neutral,True
2024-09-30,Uruguay,Germany,1,1,Friendly,Neutral City,Neutral,True
2024-10-07,England,Japan,2,2,Friendly,Neutral City,Neutral,True
2024-10-14,Mexico,France,1,1,Friendly,Neutral City,Neutral,True
2024-10-21,USA,Netherlands,1,2,Friendly,Neutral City,Neutral,True
2024-10-28,Belgium,Portugal,1,0,Friendly,Neutral City,Neutral,True
2024-11-04,Spain,USA,0,1,Friendly,Neutral City,Neutral,True
2024-11-11,Argentina,Morocco,0,1,Friendly,Neutral City,Neutral,True
2024-11-18,Netherlands,England,1,2,Friendly,Neutral City,Neutral,True
2024-11-25,England,Italy,2,0,Friendly,Neutral City,Neutral,True
2024-12-02,Uruguay,Netherlands,0,2,Friendly,Neutral City,Neutral,True
2024-12-09,France,Germany,3,0,Friendly,Neutral City,Neutral,True
2024-12-16,France,Italy,0,0,Friendly,Neutral City,Neutral,True
2024-12-23,Portugal,England,3,1,Friendly,Neutral City,Neutral,True
2024-12-30,Netherlands,Spain,0,0,Friendly,Neutral City,Neutral,True
2025-01-06,Morocco,Germany,1,0,Friendly,Neutral City,Neutral,True
2025-01-13,France,Germany,1,0,Friendly,Neutral City,Neutral,True
2025-01-20,Japan,France,1,2,Friendly,Neutral City,Neutral,True
